1. 風量 | Air volume
38. 安全帽 | Safety helmet
39. 安全眼鏡 | Safety goggles
40. 安全帶 | Safety belt
41. 防塵口罩 | Dust mask
42. 隔離帶 | Isolation tape
43. 警示標誌 | Warning sign
44. 緊急逃生口 | Emergency exit
45. 疏散指示牌 | Evacuation sign
46. 逃生設備 | Escape equipment
47. 安全防護措施 | Safety precautions
48. 緊急預案 | Emergency plan
49. 風險評估 | Risk assessment
50. 安全教育訓練 | Safety education and training
- 1. 系統 | System
- 2. 整合系統 | Integrated System
- 3. 多聯系統 | Multi Split System
- 4. 變冷媒流量系統 | Variable Refrigerant Flow System (VRF)
- 5. 製冷系統 | Cooling System
- 6. 冷凍系統 | Refrigeration System
- 7. 管道系統 | Piping System
- 8. 冷氣機 | Air Conditioner
- 9. 室外機 | Outdoor Unit
- 10. 室內機 | Indoor Unit
- 11. 冷媒 | Refrigerant
- 12. 冷媒配管 | Refrigerant Piping
- 13. 冷凝器 | Condenser
- 14. 蒸發器 | Evaporator
- 15. 壓縮機 | Compressor
- 16. 冷暖氣 | Heating and Cooling
- 17. 除濕 | Dehumidification
- 18. 空氣清淨 | Air Purification
- 19. 自動控制 | Automatic Control
- 20. 能源效率 | Energy Efficiency
- 21. 低噪音 | Low Noise
- 22. 濾網 | Filter
- 23. 冷媒管 | Refrigerant Tube
- 24. 冷凝水盤 | Condensate Pan
- 25. 風機 | Fan
- 26. 風扇 | Blower
- 27. 遙控器 | Remote Control
- 28. 安裝 | Installation
- 29. 調整 | Adjustment
- 30. 連接 | Connection
- 31. 管道配置 | Piping Configuration
- 32. 冷媒充填 | Refrigerant Charging
- 33. 檢漏 | Leak Detection
- 34. 維修 | Maintenance
- 35. 診斷 | Diagnosis
- 36. 清洗 | Cleaning
- 37. 更換 | Replacement
- 38. 保養 | Servicing
- 39. 試運轉 | Test Run
- 40. 檢驗 | Inspection
- 41. 性能測試 | Performance Testing
- 42. 安全檢查 | Safety Check
- 43. 報告 | Report
- 44. 節能 | Energy Saving
- 45. 環保 | Environmental Protection
- 46. 舒適度 | Comfort
- 47. 施工 | Construction
- 48. 計畫 | Plan
- 49. 規範 | Specification
- 50. 合約 | Contract
1. 試運轉計畫 | Commissioning Plan
2. 訓練計畫 | Training Plan
3. 計量 | Measurement
4. 計價 | Billing
5. 變電站 | Substation
6. 高低壓配電 | High and low voltage distribution
7. 接地及避雷 | Grounding and lightning protection
8. 火災警報及廣播系統 | Fire alarm and broadcasting system
9. 緊急電源系統 | Emergency power system
10. 電話管線設施 | Telephone lines and facilities
11. 資料送審 | Data submittal
12. 品質管理 | Quality management
13. 中華民國國家標準 | Chinese National Standard (CNS)
14. 建築技術規則 | Building Technical Regulations (CBC)
15. 各類場所消防安全設備設置標準 | Fire Safety Equipment Installation Standards for Various Places
16. 台灣電力公司營業規章 | Taipower Business Regulations
18. 美國國家電工法規 | National Electrical Code (NEC)
19. 美國國家標準協會 | American National Standards Institute (ANSI)
20. 國際電氣安全法規 | National Electrical Safety Code (NESC)
21. 美國電機電子工程師協會 | Institute of Electrical and Electronics Engineers (IEEE)
22. 國際電子技術委員會 | International Electrotechnical Commission (IEC)
23. 美國電機製造業協會 | National Electrical Manufacturers Association (NEMA)
24. 美國防火協會 | National Fire Protection Association (NFPA)
25. 美國保險業實驗所 | Underwriters Laboratories (UL)
26. 美國材料試驗協會 | American Society for Testing and Materials (ASTM)
27. 美國銲接工程協會 | American Welding Society (AWS)
28. 英國國家標準協會 | British Standards Institution (BSI)
29. 標高海平面 | Elevation above sea level
30. 相對濕度 | Relative humidity
31. 溫度 | Temperature
32. 保固 | Warranty
33. 保固保證書 | Warranty certificate
34. 供電施工 | Power supply construction
35. 電機裝置設備 | Electrical equipment
36. 設備檢查 | Equipment inspection
37. 電機系統 | Electrical system
38. 供電設備 | Power supply equipment
39. 電氣系統 | Electrical system
40. 配電設備 | Distribution equipment
41. 照明系統 | Lighting system
42. 照明裝置 | Lighting fixture
43. 緊急照明 | Emergency lighting
44. 消防安全設備 | Fire safety equipment
45. 消防警報 | Fire alarm
46. 廣播系統 | Broadcasting system
47. 電話線 | Telephone line
48. 電話設施 | Telephone facility
49. 資料文件 | Data document
50. 品質控制 | Quality control
1. 連續性測試 | Continuity test
2. 絕緣測試 | Insulation test
3. 控制功能測試 | Control functional test
4. 計量功能測試 | Metering functional test
5. 保護功能測試 | Protection functional test
6. 高壓變壓器 | High voltage transformer
7. 比壓器 | Potential transformer
8. 比流器 | Current transformer
9. 避雷器 | Lightning arrester
10. 高壓斷路器 | High voltage circuit breaker
11. 電力熔絲 | Fuse
12. 進口證明單 | Import certificate
13. 裝船單 | Packing List
14. 馬達控制中心 | Motor control center
15. 門禁管制設備 | Access control system
16. 電線 | Electric wire
17. 電纜 | Electrical cable
18. 電動機 | Electric motor
19. 柴油引擎發電機組 | Diesel generator set
20. 直流電源設備 | DC power system
21. 鉛酸蓄電池組 | Lead-acid batteries
22. 鎳鎘蓄電池組 | Nickel-cadmium battery
23. 靜態式不斷電系統 | Uninterruptible power supply (UPS)
24. 充電機 | Battery charger
25. 鎳鎘電池充電器 | Nickel-cadmium battery charger
26. 變頻器 | Frequency converter
27. 高壓模鑄式變壓器 | High voltage cast-resin transformer
28. 高壓高效率樹脂型乾式變壓器 | High voltage high-efficiency dry-type resin transformer
29. 高壓油浸式變壓器 | High voltage oil-immersed transformer
30. 高壓進相電容器 | High voltage capacitor bank
31. 整組式功因改善用低壓電容器組 | Low voltage capacitor bank
32. 低壓被動式電力濾波器 | Low voltage passive power filter
33. 低壓主動式電力濾波器 | Low voltage active power filter
34. 儀表 | Measuring instrument
35. 電驛 | Relay
36. 高壓配電盤 | High voltage switchboard
37. 高壓自動切換開關 | High voltage automatic transfer switch
39. 高壓隔離開關 | High voltage isolator switch
40. 高壓負載啓斷開關 | High voltage load break switch
41. 中壓配電盤 | Medium voltage switchboard
42. 低壓配電盤 | Low voltage switchboard
43. 無熔線斷路器 | Molded case circuit breaker (MCCB)
44. 低壓空氣斷路器 | Low voltage air circuit breaker
45. 漏電斷路器 | Leakage current circuit breaker (RCCB)
46. 低壓馬達控制中心 | Low voltage motor control center
47. 低壓馬達起動盤 | Low voltage motor starter
48. 匯流排槽 | Busway
49. 低壓變壓器 | Low voltage transformer
50. 低壓突波抑制裝置 | Surge protective device (SPD)
4. 絕緣油 | Insulating oil
5. 斷路器、變壓器絕緣油 | Circuit break and transformer insulating oil
6. 絕緣油耐壓 | Insulating oil withstand voltage
7. 酸價 | Acid number
14. 介質電力因數 | Dielectric power factor
15. 接觸電阻 | Contact resistance
16. 三相動作同步比較 | Triphase actuating synchronous comparison
25. 礙子 | Insulator
27. 開關盤內部設備 | Switchgear internal equipment
28. 保護電驛 | Protective relay
29. 本體特性 | Intrinsic characteristics
30. 接線測試 | Wiring test
31. 一式 | By lot
32. 實作數量 | Actual quantity
33. 契約數量 | Contract quantity
34. 人工 | Labor
35. 材料 | Material
36. 機具 | Machinery
37. 設備 | Equipment
38. 動力 | Power
39. 運輸 | Transportation
40. 測試 | Test
41. 海平面 | Sea level
42. 相對濕度 | Relative humidity
43. 溫度 | Temperature
44. 迴路 | Circuit
45. 熔絲 | Fuse
47. 斷路器 | Circuit breaker
48. 高壓配電盤 | High voltage distribution panel
49. 低壓系統 | Low voltage system
50. 匝比 | Turn ratio
1. 空調管線 | A/C Duct
2. 冷凝機組 | Condenser
3. 蒸發器 | Evaporator
4. 循環風扇 | Circulating Fan
5. 換氣扇 | Exhaust Fan
6. 空氣過濾器 | Air Filter
7. 冷卻塔 | Cooling Tower
8. 冷卻水泵浦 | Cooling Water Pump
9. 冷凝水管線 | Condensate Drain Line
10. 控制面板 | Control Panel
11. 溫度感測器 | Temperature Sensor
12. 壓力開關 | Pressure Switch
13. 安全開關 | Safety Switch
14. 繼電器 | Relay
15. 變壓器 | Transformer
16. 斷路器 | Circuit Breaker
17. 電容 | Capacitor
18. 電阻 | Resistor
19. 電線 | Wire
20. 電纜 | Cable
21. 插座 | Socket
22. 開關 | Switch
23. 冷媒 | Refrigerant
24. 膨脹閥 | Expansion Valve
25. 四通閥 | Four-Way Valve
26. 儲液器 | Accumulator
27. 鰭片 | Fins
28. 風量 | Air Flow Rate
29. 冷卻能力 | Cooling Capacity
30. 能源效率比 | Energy Efficiency Ratio
31. 噪音等級 | Noise Level
32. 安裝高度 | Installation Height
33. 重量 | Weight
34. 保固時間 | Warranty Period
35. 品牌 | Brand
36. 型號 | Model
37. 產地 | Place of Origin
38. 認證 | Certification
39. 安裝方式 | Installation Method
40. 維護保養 | Maintenance
41. 緊急維修 | Emergency Repair
42. 除霜 | Defrost
43. 加濕 | Humidification
44. 除濕 | Dehumidification
45. 新風 | Fresh Air
46. 排風 | Exhaust Air
47. 恆溫 | Constant Temperature
48. 變頻 | Inverter
49. 冷暖 | Heating and Cooling
50. 冷媒管 | Refrigerant Pipe
1. 冷氣系統 | Air conditioning system
2. 風管 | Duct
3. 蒸發器 | Evaporator
4. 冷凝器 | Condenser
5. 壓縮機 | Compressor
6. 膨脹閥 | Expansion valve
7. 冷媒 | Refrigerant
8. 出風口 | Air outlet
9. 回風口 | Air return
10. 濾網 | Filter
11. 風機 | Fan
12. 溫度控制器 | Temperature controller
13. 濕度控制器 | Humidity controller
14. 電路 | Circuit
15. 保險絲 | Fuse
16. 開關 | Switch
17. 插座 | Socket
18. 電線 | Electric wire
19. 冷媒管 | Refrigerant pipe
20. 排水管 | Drain pipe
21. 冷氣機型式 | Air conditioner model
22. 冷氣機容量 | Air conditioner capacity
23. 能源效率比 | Energy efficiency ratio (EER)
24. 冷房能力 | Cooling capacity
25. 暖房能力 | Heating capacity
26. 噪音值 | Noise level
27. 自動開關機 | Auto on/off
28. 定時 | Timer
29. 睡眠模式 | Sleep mode
30. 除濕功能 | Dehumidification function
31. 空氣清淨功能 | Air purification function
32. 負離子功能 | Negative ion function
33. 遙控器 | Remote control
35. 分流器 | Diffuser
36. 風量調整 | Airflow adjustment
37. 擺風 | Swing
38. 循環風 | Circulation air
39. 新鮮空氣 | Fresh air
40. 除霜 | Defrost
41. 緊急停止 | Emergency stop
42. 自動除菌 | Automatic disinfection
43. 自動清洗 | Automatic cleaning
44. 智能控制 | Intelligent control
45. 故障代碼 | Error code
46. 除臭功能 | Deodorization function
47. 遠端監控 | Remote monitoring
48. 智慧節能 | Smart energy saving
49. 超靜音 | Super quiet
50. 低耗電 | Low power consumption
1. 冷凍能力 | Cooling Capacity
2. 電壓 | Voltage
3. 電流 | Amperage
4. 能效比 | Energy Efficiency Ratio
5. 室外機 | Outdoor Unit
6. 室內機 | Indoor Unit
7. 冷媒 | Refrigerant
8. 風扇馬達 | Fan Motor
9. 濕度 | Humidity
10. 溫度 | Temperature
11. 遙控器 | Remote Control
12. 除濕 | Dehumidification
13. 定時 | Timer
14. 自動清洗 | Self-Cleaning
15. 空氣濾網 | Air Filter
16. 冷凝器 | Condenser
17. 蒸發器 | Evaporator
18. 膨脹閥 | Expansion Valve
19. 毛細管 | Capillary Tube
20. 換熱器 | Heat Exchanger
21. 鼓風機 | Blower
22. 管路 | Piping
23. 電線 | Wiring
24. 絕緣 | Insulation
25. 保溫 | Thermal Insulation
26. 止漏 | Leak Proof
27. 防震 | Anti-Vibration
28. 防鏽 | Anti-Corrosion
29. 防腐 | Anti-Rot
30. 耐候 | Weather-Resistant
31. 防水 | Waterproof
32. 防塵 | Dust-Proof
33. 防爆 | Explosion-Proof
34. 安全裝置 | Safety Device
35. 控制面板 | Control Panel
36. 顯示器 | Display
37. 感測器 | Sensor
38. 執行器 | Actuator
39. 驅動器 | Driver
40. 變頻 | Inverter
41. 無段變頻 | Stepless Inverter
42. 直流變頻 | DC Inverter
43. 渦卷壓縮機 | Scroll Compressor
44. 活塞壓縮機 | Piston Compressor
45. 旋轉壓縮機 | Rotary Compressor
46. 螺旋壓縮機 | Screw Compressor
47. 離心式風扇 | Centrifugal Fan
48. 軸流式風扇 | Axial Fan
49. 百葉窗 | Louver
50. 格柵 | Grille
1. 冷氣空調 | Air Conditioner
2. 馬達 | Motor
3. 風扇 | Fan
4. 蒸發器 | Evaporator
5. 冷凝器 | Condenser
6. 膨脹閥 | Expansion valve
7. 毛細管 | Capillary tube
8. 制冷劑 | Refrigerant
9. 冷凍油 | Lubricant
10. 冷凝水盤 | Drain pan
11. 冷凝水管 | Drain pipe
12. 迴風口 | Return air grille
13. 送風口 | Supply air grille
14. 濾網 | Air filter
15. 溫度感測器 | Temperature sensor
16. 濕度感測器 | Humidity sensor
17. 時鐘 | Timer
18. 遙控器 | Remote control
19. 冷度設定 | Cool setting
20. 暖度設定 | Heat setting
21. 自動模式 | Auto mode
22. 風量設定 | Fan speed setting
23. 擺風 | Swing
24. 吹風 | Airflow
25. 濕度設定 | Humidity setting
26. 除濕 | Dehumidification
27. 自動化霜 | Auto defrost
28. 抗菌 | Antibacterial
29. 除臭 | Deodorizing
30. 節能 | Energy saving
31. 低噪音 | Low noise
32. 外型設計 | Design
33. 功能設定 | Function setting
34. 安裝方式 | Installation method
35. 維修保養 | Maintenance
36. 溫度範圍 | Temperature range
37. 噪音值 | Noise level
38. 能源效率比 | Energy efficiency ratio
39. 機身尺寸 | Dimensions
40. 重量 | Weight
41. 電源 | Power supply
42. 冷媒 | Refrigerant
43. 安裝孔位 | Mounting holes
44. 風管连接 | Duct connection
45. 室外機 | Outdoor unit
46. 室內機 | Indoor unit
47. 連接線 | Connecting wire
48. 排水管 | Drain hose
49. 電路 | Circuit
50. 保險絲 | Fuse
1. 降落設備 | Emergency devices
2. 異物感測 | Foreign object detection
3. 急降安全感測 | Emergency descent safety sensor
4. 鬆弛感知器 | Slack sensor
5. 門鎖感測 | Door lock sensor
6. 支撐機 | Supporting machine
7. 電控系統 | Electrical control system 
8. 動力系統 | Power system
9. 主機尺寸 | Main unit size
10. 保固 | Warranty
11. 自動安全門 | Automatic safety door
12. 門框厚度 | Door frame thickness
14. 開啟至關閉時間 | Door opening to closing time
15. 門框感應 | Door frame induction
16. 開啟 | Opening 
17. 上昇無障礙平台 | Accessible platform
18. 冷卻水塔 | Cooling tower
19. 冷卻水盤 | Cooling water pan
20. 備用水盤 | Spare water pan
21. 絕緣棉 | Insulation cotton
22. 螺絲 | Screw
23. 螺母 | Nut
24. 水泵 | Water pump
25. 水塔防震支架 | Water tower seismic strut
26. 對焊彈頭 | Welding blind head
27. 對焊三通 | Welding tee
28. 水塔安裝防振鋼筋 | Water tower installation seismic reinforcement
29. 冷熱水塔 | Hot and cold water tower
30. 水箱箱型機 | Water tank box machine
31. 風量 | Air volume
32. 外部靜壓 | External static pressure
33. 電源相數 | Power phase
34. 電壓 | Voltage
35. 頻率 | Frequency
36. 電流 | Current
37. 空氣調節球偏度 | Air conditioning ball bias
38. 壓力開關 | Pressure switch
39. 溫度開關 | Temperature switch
1. 防箔支擱之最大間距 | MAX SPAN OF THE BRACKET
4. 立式箱型冷氣機 | FLOOR STANDING AIR CONDITIONER
5. 立式箱型機酖管安裝圖 | FLOOR STANDING AIR CONDITIONER PIPING INSTALLATION DRAWING
8. 總排水量 | TOTAL DRAIN FLOW
9. 送風機 | FAN
10. 風扇型式 | FAN TYPE
11. 水冷落地櫃式 | WATER-COOLED FLOOR STANDING CABINET
12. 冷氣能力 | COOLING CAPACITY
13. 總供風量 | TOTAL AIR SUPPLY
14. 機外靜壓 | EXTERNAL STATIC PRESSURE
15. 能源效率 | ENERGY EFFICIENCY
16. 出風口型式 | OUTLET TYPE
17. 啟動方式 | STARTING METHOD
18. 壓縮機 | COMPRESSOR
19. 出力 | OUTPUT
20. 電動機種類 | MOTOR TYPE
21. 冷卻水用量 | COOLING WATER FLOW
22. 水頭損失 | WATER HEAD LOSS
23. 水冷落地式箱型冷氣機 | WATER-COOLED FLOOR-STANDING BOX-TYPE AIR CONDITIONER
24. 冷卻水入口 | COOLING WATER INLET
25. 冷卻水出口 | COOLING WATER OUTLET
26. 漏電接地保護 | GROUND FAULT PROTECTION
27. 多翼離心式 | MULTIFINS CENTRIFUGAL
28. 渦輪風扇 | TURBINE FAN
29. 直接啟動式 | DIRECT START
30. 依序直接啟動式 | SEQUENTIAL DIRECT START
31. 依序降壓起動式 | SEQUENTIAL VOLTAGE REDUCTION START
32. 電氣箱配線孔 | ELECTRICAL BOX WIRING PORT
33. 全密閉渦卷式 | FULLY SEALED SCROLL
34. 全密閉往復式 | FULLY SEALED RECIPROCATING
35. 上吹格柵口型(含充氣室) | UPWARD GRILLE OUTLET (WITH PLENUM BOX)
36. 頂部接風管型 | TOP AIR INTAKE TYPE
37. 漏電接地保護 | LEAKAGE GROUND PROTECTION
38. 孔徑 | HOLE DIAMETER
41. 變頻 | FREQUENCY CONVERSION
42. 非變頻 | NON-FREQUENCY CONVERSION
43. 上吹格柵口型 | UPWARD GRILLE OUTLET
44. 夏季 | SUMMER
45. 相對濕度 | RELATIVE HUMIDITY
1. 出力 | Output
2. 馬達種類 | Type of Motor
3. 變頻 | Inverter
4. 非變頻 | Non-Inverter
5. 馬達絕緣等級 | Insulation Class
6. 馬達外殼防護等級 | Enclosure
7. 馬達使用率 | Service Factor
8. 高效能 | High Efficient
9. 出口風量 | Outlet Air Flow
10. 風機靜壓 | Fan Static Pressure
11. 滴水盤材質 | Drip Pan Material
12. 滴水盤厚度 | Drip Pan Thickness
13. 冷媒 | Refrigerant
14. 冷媒種類 | Type of Refrigerant
15. 冷媒用量 | Refrigerant Charge
16. 高壓 | High Pressure
17. 低壓 | Low Pressure
18. 冷媒控制器 | Refrigerant Controller
19. 多通路毛細管 | Multi-Port Capillary Tube
20. 感溫膨脹閥 | Thermostatic Expansion Valve
21. 控制方式 | Control Type
22. 微電腦溫度控制 | Microcomputer Temperature Control
23. 斷電復歸自動啟動功能 | Auto Restart Function
24. 壓力開關 | Pressure Switch
25. 冷媒高壓 | High Pressure Refrigerant
26. 冷媒低壓 | Low Pressure Refrigerant
27. 安全閥 | Safety Valve
28. 可熔栓 | Thermal Fuse
29. 壓縮機過電流保護 | Compressor Overcurrent Protection
30. 壓縮機過熱保護開關 | Compressor Overheat Protection Switch
31. 溫度開關 | Temperature Switch
32. 防凍開關 | Freeze Protection Switch
33. 過載電驛 | Overload Relay
34. 操作面板 | Operation Panel
35. 溫度設定調整 | Temperature Adjustment
36. 送風 | Fan
37. 冷氣 | Cooling
38. 關機 | Off
39. 格柵出風口百葉 | Louvers
40. 自動搖擺 | Auto Swing
41. 定向送風 | Directed Air Flow
42. 定時功能 | Timer
43. 遙控器 | Remote Control
44. 外部鈑金 | Exterior Panel
45. 骨架鐵材 | Frame
46. 鋁鰭片 | Aluminum Fins
47. 顏色 | Color
48. 振動要求值 | Vibration Criteria
49. 風扇葉輪動平衡校正 | Fan Impeller Dynamic Balancing Calibration
50. 廠測噪音 | Factory Noise Measurement
1. 轉速 | Revolution per minute (RPM)
2. 頻率 | Frequency
3. 振動振幅 | Vibration amplitude
4. 頻譜 | Spectrum
5. 軸承 | Bearing
6. 馬達 | Motor
7. 風車 | Fan
8. 葉片 | Blade
9. 進風口 | Air inlet
10. 出風口 | Air outlet
11. 葉片補強板 | Blade gusset
12. 夾板鎖定 | Backplate
13. 固定環 | Endrings
14. 檔板 | Damper
15. 節距 | Pitch
16. 轉彎處 | Turning point
17. 聯軸器 | Coupling
18. 皮帶 | Belt
19. 軸承座 | Bearing housing
21. 平行 | Parallel
22. 垂直 | Perpendicular
23. 水平 | Horizontal
24. 徑向 | Radial
25. 軸向 | Axial
26. 內側 | Inner
27. 外側 | Outer
28. 最小負載 | Minimum load
29. 最大負載 | Maximum load
30. 臨界轉速 | Critical speed
31. 溫昇 | Temperature rise
32. 濾波 | Filter
33. 解析度 | Resolution
34. 平均化處理 | Averaging
38. 單吸式 | Single suction
39. 雙吸式 | Double suction
40. 翼面 | Airfoil
41. 轉速計 | Tachometer
42. 加速度計 | Accelerometer
43. 振動分析儀 | Vibration analyzer
44. 導葉瓣 | Guide vane
45. 空心葉片 | Hollow blade
46. 風管支撐架 | Duct support bracket
47. 潤滑方式 | Lubrication method
48. 固定節距 | Fixed pitch
49. 可改變節距 | Variable pitch
50. 軸承潤滑方式 | Bearing lubrication method
1. 馬達 | Motor
2. 振動 | Vibration
3. 電機 | Electric Motor
4. 頻譜 | Spectrum
5. 振動分析 | Vibration Analysis
6. 轉子棒 | Rotor Bar
7. 量測儀 | Measuring Instrument
8. 解析度 | Resolution
9. 平均化 | Averaging
11. 機械分析儀 | Mechanical Analyzer
12. 濾波處理 | Filtering
13. 頻寬 | Bandwidth
14. 軸承 | Bearing
15. 軸向振動 | Axial Vibration
16. 垂直振動 | Vertical Vibration
17. 水平振動 | Horizontal Vibration
18. 轉速 | Speed
23. 感應式 | Induction Motor
24. 同步式 | Synchronous Motor
25. 直流 | DC Motor
27. 相位數 | Number of Phases
28. 極數 | Number of Poles
29. 定子槽數 | Number of Stator Slots
30. 軸承規格 | Bearing Specifications
31. 冷卻風扇 | Cooling Fan
32. 潤滑方式 | Lubrication Type
33. 環境保護等級 | Protection Class
34. 開放式 | Open Type
35. 保護式 | Protected Type
36. 防水式 | Waterproof Type
37. 全覆式 | Totally Enclosed Type
38. 框號 | Frame Size
41. 設備資料 | Equipment Data
42. 廠牌 | Brand Name
43. 型號 | Model
44. 類別 | Type
45. 製造商 | Manufacturer
46. 臥式 | Horizontal
47. 立式 | Vertical
48. 內側 | Inner Side
49. 外側 | Outer Side
50. 輸出端 | Output End
1. 轉速 | RPM/Hz
2. 額定電壓 | V
3. 電源頻率 | Hz
4. 額定電流 | AMPS
6. 零負載電流 | AMPS
23. 壁掛型 | Wall Mounted Type
24. 經濟部 | Ministry of Economic Affairs
25. 最大功率 | Maximum Power
1. 安裝類型 | INSTALLATIONTYPE
2. 嵌入式 | FLUSH MOUNTED
3. 懸掛式 | SUSPENDED
4. 風量 | FLOW RATE (CFM)
5. 單位 | UNIT
6. 效率 | EFF.%
7. 天花板式 | CEILING EXHAUST
8. 壁掛式 | WALL MOUNTED
9. 擺動式 | SWINGING
10. 安裝空間 | SERVING LOCATION
11. 空調功率 | POWER CONSUMPTION
12. 抽風口 | EXHAUST PORT
13. 風扇 | FAN
14. 內吹式 | PROPELLER
15. 外吹口 | BLOWER
16. 靜音模式 | AIRSILENCER
17. 濕度程式 | HUMIDITY PROGRAM
18. 閥門 | VALVE
19. 濾網 | FILTER
20. 啟動電流 | STARTING CURRENT
21. 安培 | AMPERE
22. 赫茲 | HERTZ
23. 直流電 | DC
24. 交流電 | AC
25. 電壓 | VOLTAGE
26. 功率 | WATT
27. 馬力 | HORSEPOWER
28. 氣流速度 | AIR FLOW VELOCITY
29. 吹風葉 | BLOWER WHEEL
30. 蒸發器 | EVAPORATOR
31. 液體冷卻 | LIQUID CHILLER
32. 風機盤管 | FAN COIL UNIT
33. 風管 | AIR DUCT
34. 風箱 | BLOWER HOUSING
35. 冷媒 | REFRIGERANT
36. 冷凍劑 | FREEZING AGENT
37. 冷凝器 | CONDENSER
38. 製冷容量 | COOLING CAPACITY
39. 供暖容量 | HEATING CAPACITY
40. 溫度範圍 | TEMPERATURE RANGE
41. 除濕量 | DEHUMIDIFICATION CAPACITY
42. 預約計時 | TIMER FUNCTION
43. 遠端遙控 | REMOTE CONTROL
44. 自動除霜 | AUTO DEFROSTING
45. 抗菌功能 | ANTIBACTERIAL FUNCTION
46. 消臭功能 | DEODORIZING FUNCTION
47. 除濕模式 | DEHUMIDIFICATION MODE
48. 送風模式 | AIR CIRCULATION MODE
49. 自動模式 | AUTO MODE
50. 省電模式 | ENERGY SAVING MODE
1. 冷媒 | Refrigerant
2. 室內機 | Indoor Unit
3. 室外機 | Outdoor Unit
4. 分離式 | Split Type
5. 冷暖變頻 | Inverter
6. 坪數 | Capacity
7. 耗電量 | Power Consumption
8. 能源效率比 | EER
9. 風量 | Airflow
10. 風速 | Airflow Speed
11. 運轉噪音 | Operating Noise
12. 製冷能力 | Cooling Capacity
13. 除濕能力 | Dehumidification Capacity
14. 換氣功能 | Air Ventilation
15. 自動淨化 | Auto Cleaning
16. 自動除臭 | Auto Deodorization
17. 定時開關 | Timer On/Off
18. 睡眠模式 | Sleep Mode
19. 擺風 | Swing
20. 送風模式 | Airflow Mode
21. 溫度感應 | Temperature Sensing
22. 濾網 | Filter
23. 安裝 | Installation
24. 保固 | Warranty
25. 遙控器 | Remote Control
26. 銅管 | Copper Tube
27. 保冷材 | Insulation
28. 配管 | Piping
29. 冷凝水 | Condensation
30. 壓縮機 | Compressor
31. 膨脹閥 | Expansion Valve
32. 風扇 | Fan
33. 馬達 | Motor
34. 控制面板 | Control Panel
35. 過濾網 | Filter Net
36. 除塵網 | Dustproof Net
37. 消音網 | Soundproof Net
38. 防塵 | Dustproof
39. 防水 | Waterproof
40. 抗菌 | Antibacterial
41. 防霉 | Anti-mildew
42. 低噪音 | Low Noise
43. 節能 | Energy Saving
44. 環保 | Environmental Protection
45. 智能控制 | Intelligent Control
46. 手機遠端操控 | Smartphone Remote Control
47. 語音控制 | Voice Control
48. 多聯式 | Multi-Split Type
49. 管線長度 | Piping Length
50. 冷媒管 | Refrigerant Pipe
1. 空氣流量 | airflow rate
2. 熱交換器 | heat exchanger
3. 耗電量 | power consumption
4. 能源 | power source
5. 參考冷媒 | ref. refrigerant
6. 參考效率 | ref. eff.
7. 吊掛安裝 | ceiling mount
8. 落地安裝 | floor mount
9. 隱藏式安裝 | conceal type
10. 分離式變頻冷媒 | separated variable refrigerant
11. 設備規格 | equipment specification
12. 全熱交換器 | total heat exchanger
13. 濕度控制裝置 | dehumidifier
14. 馬達 | motor
15. 電壓 | voltage
16. 頻率 | frequency
17. 相數 | phase
18. 額定容量 | rated capacity
19. 冷房能力 | cooling capacity
20. 加熱能力 | heating capacity
21. 製冷劑 | refrigerant
22. 壓縮機 | compressor
23. 控制面板 | control panel
24. 濾網 | filter
25. 出風口 | air outlet
26. 進風口 | air inlet
27. 遙控器 | remote control
28. 風扇 | fan
29. 冷凝器 | condenser
30. 蒸發器 | evaporator
31. 擴充槽 | expansion slot
32. 除霜模式 | defrost mode
33. 定時功能 | timer function
34. 自動重啟 | auto restart
35. 睡眠模式 | sleep mode
36. 節能模式 | energy saving mode
37. 超靜音 | super quiet
40. 防霉抗菌 | anti-mold and antibacterial
41. 自動清潔 | self-cleaning
42. 過濾器警示 | filter alarm
43. 除濕功能 | dehumidifying function
44. 加濕功能 | humidifying function
45. 空氣淨化功能 | air purification function
46. 防塵螨功能 | anti-mite function
47. 除臭功能 | deodorization function
48. 換氣功能 | ventilation function
49. 空調專家 | air conditioning expert
50. 冷氣空調 | air conditioner
1. 室外熱交換器類型 | OUTDOORHEATEXCHANGERTYPE
2. 冷房能力 | COOLINGCAPACITY
3. 暖房能力 | HEATINGCAPACITY
4. 室外溫度範圍 | OUTDOORTEMPERATURÉRANGE
5. 製冷劑 | REFRIGERANT
6. 室內空氣體積 | INDOORAIRVOLUME
7. 電源 | POWER
8. 最大電流 | MAXPOWERCONSUMPTION
9. 聲音 | SOUND
10. 相位/電壓/頻率 | PH/V/HZ
11. 機種 | MODEL
12. 室外機類型 | OUTDOORUNITTYPE
13. 室內機類型 | INDOORUNITTYPE
14. 壓縮機類型 | COMPRESSORTYPE
15. 冷凝器類型 | CONDENSERTYPE
16. 能源效率比 | ENERGYEFFICIENCYRATIO
17. 能源消耗 | ENERGYCONSUMPTION
18. 質量 | QUANTITY
19. 使用面積 | SERVICEAREA
20. 額定功率 | POWER
21. 額定電流 | RATEDCURRENT
22. 頻率 | FREQUENCY
23. 電壓 | VOLTAGE
24. 冷媒容量 | REFRIGERANTCHARGE
25. 排水量 | DRAINAGE
26. 排水方式 | DRAINAGEMETHOD
